Challenges,Significant impact,Moderate impact,Minor impact,No impact,Total
Lack of time,107,102,66,26,301
Lack of design expertise,30,83,105,83,301
Learning new tools,41,113,104,43,301
Accessing data,62,79,83,77,301
Information overload,39,86,94,82,301
Lack of collaboration,39,65,108,89,301
Lack of mentorship,52,68,77,104,301
Low data literacy,34,69,93,105,301
Data visualisation not respected,44,72,86,99,301
Tool technology limits,34,94,115,58,301
Non-visualisation activities,67,106,79,49,301
Data Volume,49,57,104,91,301